K-stat 무역통계 - 한국무역협회,,,,,,,,
"품목 : HSK 854231  ,  당월/누계 : 누계  ,  단위 : 금액 - 천불, 중량 - Kg, 증감률 - %",,,,,,,,
년월,수출,수출,수출,수출,수입,수입,수입,수입
년월,금액,증감률,중량,증감률,금액,증감률,중량,증감률
…3월,"3,709,397",27,"1,749,058",4.8,"3,131,049",10.5,"1,106,276",-7.1
…4월,"4,928,421",22.6,"2,364,366",1.8,"4,178,798",7.9,"1,466,057",-9.1
…5월,"6,192,754",19.5,"2,981,045",-1.6,"5,244,854",7.4,"1,849,168",-9
…6월,"7,553,554",18.6,"3,589,369",-4.1,"6,318,649",5.8,"2,205,586",-10.5
…7월,"8,988,601",17.6,"4,223,988",-5.9,"7,573,079",4.6,"2,561,823",-11.3
…8월,"10,575,567",18.4,"4,881,215",-6.4,"8,717,598",4.8,"2,921,273",-12
…9월,"12,492,606",20.9,"5,526,594",-7,"9,922,512",5.9,"3,278,454",-12
…10월,"14,279,044",21.9,"6,090,798",-8.3,"11,164,188",6.2,"3,637,785",-11.9
…11월,"15,926,907",21.2,"6,656,801",-8.7,"12,365,485",5.9,"3,985,592",-11.9
…12월,"17,829,204",22.6,"7,220,152",-9.2,"13,556,908",5.7,"4,320,018",-11.6
2010년,"14,543,061",32,"7,952,349",23.1,"12,820,086",12,"4,889,307",5.7
…1월,"892,111",46,"533,014",64.3,"942,390",13.4,"398,252",37.6
…2월,"1,823,538",59.6,"1,057,581",51.1,"1,768,468",19.3,"763,511",29.9
…3월,"2,920,859",60.6,"1,669,061",46.8,"2,832,417",26.1,"1,190,290",27.8
…4월,"4,018,613",51.4,"2,322,066",43.1,"3,871,673",18.6,"1,613,126",21.3
…5월,"5,183,373",43.9,"3,030,971",40.2,"4,882,378",15,"2,031,298",19.3
…6월,"6,369,499",40.6,"3,743,895",37.5,"5,972,930",13.5,"2,464,526",17.2
…7월,"7,642,453",37.9,"4,489,534",35.6,"7,239,601",12.6,"2,887,000",14.2
…8월,"8,928,952",35.9,"5,215,739",32.7,"8,320,747",10.8,"3,319,957",13.1
…9월,"10,335,935",33.6,"5,944,645",28.7,"9,373,529",8.7,"3,725,021",10.4
…10월,"11,713,672",31.4,"6,643,663",25.8,"10,513,137",8.5,"4,130,915",9
…11월,"13,136,332",31,"7,292,453",23.8,"11,672,383",10.3,"4,523,478",8
…12월,"14,543,061",32,"7,952,349",23.1,"12,820,086",12,"4,889,307",5.7
2009년,"11,016,620",-6.8,"6,461,672",-16.7,"11,450,456",-22.7,"4,627,553",-20.3
…1월,"610,899",-42.9,"324,494",-53,"831,249",-41.3,"289,512",-44.4
…2월,"1,142,407",-42.9,"699,730",-46.4,"1,482,400",-44.2,"587,685",-40.3
