K-stat 무역통계 - 한국무역협회,,,,,,,,
"품목 : HSK 271019  ,  당월/누계 : 누계  ,  단위 : 금액 - 천불, 중량 - Kg, 증감률 - %",,,,,,,,
년월,수출,수출,수출,수출,수입,수입,수입,수입
년월,금액,증감률,중량,증감률,금액,증감률,중량,증감률
…5월,"9,843,186",-41,"17,666,793,961",-1.1,"1,430,523",-59.7,"3,313,589,604",-33.9
…6월,"12,064,050",-38.1,"21,484,380,839",3.1,"1,632,329",-61,"3,725,702,833",-36.8
…7월,"14,226,847",-37.6,"25,686,310,801",5.3,"1,849,430",-61.5,"4,227,533,273",-37.4
…8월,"16,151,987",-38.7,"29,957,032,256",5.5,"2,096,225",-62.1,"4,945,477,199",-36.8
…9월,"18,073,330",-38.5,"34,102,543,610",7,"2,401,028",-61.3,"5,957,155,925",-32
…10월,"19,641,227",-39.4,"37,430,726,875",4.8,"2,742,137",-59.5,"7,058,911,845",-26.7
…11월,"21,233,266",-39.9,"41,025,400,903",3.1,"3,055,915",-58.1,"8,143,037,325",-22.3
…12월,"22,742,127",-39.5,"44,820,251,269",3.4,"3,330,597",-57,"9,143,467,298",-19.6
2014년,"37,596,806",-4.3,"43,343,252,719",2.8,"7,749,448",12.5,"11,367,375,658",21.2
…1월,"3,510,707",-4.8,"3,750,684,709",-1.7,"856,105",48.7,"1,230,423,097",61.6
…2월,"6,358,018",-9.3,"6,746,883,184",-5.6,"1,525,872",30.2,"2,162,994,859",40.7
…3월,"9,733,632",-8.3,"10,373,951,904",-5.8,"2,221,430",36.2,"3,142,937,017",49.3
…4월,"13,008,670",-2.3,"13,897,960,611",-0.8,"2,946,503",32.3,"4,174,026,080",44.3
…5월,"16,690,155",1.2,"17,863,175,240",1.4,"3,552,990",27.7,"5,009,726,685",36.9
…6월,"19,503,428",-1.2,"20,843,145,196",-1.9,"4,180,611",24.3,"5,895,181,134",31.9
…7월,"22,781,459",-0.1,"24,398,108,441",-0.9,"4,801,605",24.6,"6,758,125,597",30.4
…8월,"26,368,326",0.1,"28,408,528,228",-0.2,"5,533,269",25,"7,823,863,040",30.4
…9월,"29,391,528",-1.2,"31,883,436,933",-0.6,"6,204,779",25.4,"8,764,350,925",30.5
…10월,"32,415,545",-1.7,"35,700,569,166",0.5,"6,773,592",23.1,"9,624,210,143",28.7
